nome_;genero_;desenvolvedor_;lancamento_;plataformas_
Valorant Reborn;MMORPG;Bungie;1986;PlayStation 5
PUBG Origins;Corrida;Blizzard Entertainment;2001;Wii U
Assassin's Creed Odyssey;Corrida;Epic Games;1985;PlayStation 3
Among Us Origins;Puzzle;Mojang;2008;Xbox Series X
Overwatch Origins;Esporte;Supercell;1994;Xbox Series X
Valorant Chronicles;Estratégia;Epic Games;1997;PlayStation 5
Elden Ring Origins;Estratégia;Valve;1993;PC
The Sims Saga;Puzzle;Valve;1987;PlayStation 3
PUBG Reborn;Puzzle;Blizzard Entertainment;2016;PlayStation 3
Diablo Odyssey;Sandbox;Mojang;2000;Nintendo Switch
Stardew Valley Reborn;Sandbox;Activision;1987;Mobile
Valorant Infinity;Ação;FromSoftware;2021;Xbox 360
Red Dead Redemption Origins;RPG;Supercell;2009;PlayStation 5
Stardew Valley Saga;FPS;Activision;2023;Xbox Series X
Fall Guys Saga;Esporte;Activision;1996;PlayStation 2
Diablo Legends;Ação;FromSoftware;1994;PlayStation
Red Dead Redemption Reborn;Esporte;CD Projekt Red;2007;Wii U
Call of Duty Infinity;Simulação;Nintendo;1996;Nintendo Switch
Overwatch Saga;Puzzle;Mojang;2007;Xbox
PUBG Saga;Terror;Valve;2019;PlayStation 2
Stardew Valley Saga;Puzzle;Supercell;1990;Mobile
Call of Duty Reborn;Battle Royale;CD Projekt Red;1990;Wii U
Cyberpunk Infinity;Ação;Bethesda Game Studios;2009;PlayStation 2
Assassin's Creed Chronicles;Sandbox;Bethesda Game Studios;1992;Mobile
Grand Theft Auto Adventure;Ação;Epic Games;1990;PlayStation 2
League of Legends Origins;Battle Royale;Santa Monica Studio;2008;PlayStation 2
League of Legends Reborn;Estratégia;Nintendo;2012;Xbox 360
Overwatch Reborn;Battle Royale;Epic Games;2005;Wii U
Overwatch Saga;Sandbox;Nintendo;2001;PlayStation 5
PUBG Saga;Aventura;Ubisoft;2005;Xbox
Call of Duty Adventure;Estratégia;Square Enix;2022;Xbox 360
Overwatch Origins;Aventura;Blizzard Entertainment;1995;PlayStation
Hades Odyssey;Estratégia;Activision;2019;PlayStation 2
Grand Theft Auto Infinity;Estratégia;Valve;2023;PlayStation 3
Diablo Origins;Sandbox;Square Enix;2023;Xbox
PUBG Infinity;RPG;Mojang;2022;PlayStation
The Witcher Chronicles;FPS;Blizzard Entertainment;2008;PlayStation 5
EVE Online Chronicles;MMORPG;Square Enix;2011;PlayStation 3
Red Dead Redemption Odyssey;RPG;Valve;1988;PlayStation
Grand Theft Auto Odyssey;RPG;Santa Monica Studio;2019;PlayStation 3
Grand Theft Auto Chronicles;RPG;Activision;2011;Wii U
Elden Ring Chronicles;Battle Royale;Epic Games;2000;PC
Among Us Adventure;Aventura;Rockstar Games;1986;PC
Assassin's Creed Chronicles;Puzzle;Mojang;1986;Xbox
Minecraft Adventure;Aventura;Rockstar Games;2019;Xbox Series X
Fortnite Origins;FPS;Square Enix;2008;PlayStation 5
Elden Ring Reborn;Terror;Epic Games;2005;PlayStation 5
Apex Legends Adventure;Estratégia;CD Projekt Red;2013;Mobile
Call of Duty Origins;Ação;Ubisoft;2021;PlayStation 3
Hades Saga;Aventura;Nintendo;2020;Mobile
Fortnite Legends;Estratégia;Bethesda Game Studios;1989;PC
Apex Legends Odyssey;RPG;Bethesda Game Studios;1991;Nintendo Switch
Fall Guys Saga;MMORPG;Square Enix;2000;PC
Hades Reborn;Ação;FromSoftware;1989;Nintendo Switch
Dota 2 Legends;Ação;Santa Monica Studio;1998;Xbox Series X
Fall Guys Odyssey;Esporte;Blizzard Entertainment;2004;PlayStation 2
Hades Odyssey;Battle Royale;Mojang;2011;Wii U
Grand Theft Auto Chronicles;Ação;Rockstar Games;2013;PlayStation 3
Diablo Origins;Terror;Square Enix;1992;Mobile
League of Legends Adventure;Battle Royale;Epic Games;2020;PlayStation 3
PUBG Odyssey;Estratégia;Mojang;1989;Xbox
God of War Odyssey;Ação;Supercell;2006;PlayStation 2
The Witcher Chronicles;Terror;Ubisoft;1987;PlayStation 2
Fortnite Infinity;Terror;Mojang;2020;Wii U
The Witcher Reborn;MMORPG;Bethesda Game Studios;2009;Xbox
The Legend of Zelda Saga;Corrida;Activision;2020;Xbox
League of Legends Adventure;Terror;Activision;2014;PC
Hades Saga;Sandbox;Ubisoft;2011;PlayStation
PUBG Adventure;Battle Royale;Square Enix;1987;Nintendo Switch
Minecraft Reborn;Ação;Activision;2017;Xbox 360
Elden Ring Odyssey;MMORPG;Blizzard Entertainment;2008;PlayStation 3
Overwatch Legends;MMORPG;Nintendo;1987;Xbox Series X
League of Legends Odyssey;Simulação;Mojang;2006;PlayStation 2
PUBG Odyssey;MMORPG;Supercell;1997;Xbox 360
The Witcher Origins;Sandbox;Bethesda Game Studios;2004;Xbox Series X
Fortnite Adventure;Puzzle;Rockstar Games;2018;Nintendo Switch
Cyberpunk Adventure;Aventura;Ubisoft;1987;PlayStation 5
Apex Legends Infinity;Estratégia;Square Enix;2007;Nintendo Switch
Assassin's Creed Reborn;Simulação;FromSoftware;2005;PlayStation
Dota 2 Legends;FPS;Bungie;2009;PlayStation
Stardew Valley Origins;FPS;CD Projekt Red;2016;PlayStation 2
The Witcher Legends;Estratégia;Santa Monica Studio;2012;PlayStation
Valorant Chronicles;RPG;Bethesda Game Studios;2012;PlayStation
League of Legends Infinity;Sandbox;CD Projekt Red;1987;Nintendo Switch
Minecraft Chronicles;Simulação;Santa Monica Studio;2018;PlayStation 5
Diablo Infinity;Terror;Rockstar Games;2015;Xbox 360
EVE Online Chronicles;Ação;Square Enix;1990;PC
Cyberpunk Infinity;FPS;Rockstar Games;2022;PlayStation 3
Overwatch Origins;Estratégia;Mojang;1986;PlayStation 3
The Sims Reborn;RPG;Rockstar Games;1986;Wii U
God of War Reborn;Simulação;Nintendo;1999;PlayStation
Call of Duty Legends;Battle Royale;Rockstar Games;2022;PlayStation
Apex Legends Saga;Estratégia;Mojang;2000;PlayStation 2
Stardew Valley Saga;FPS;Rockstar Games;1985;Wii U
God of War Infinity;Estratégia;Bethesda Game Studios;1985;PlayStation 2
Hollow Knight Saga;Sandbox;Bethesda Game Studios;2009;Wii U
PUBG Legends;RPG;Activision;2010;PC
Call of Duty Odyssey;Battle Royale;Square Enix;1996;PlayStation
Among Us Saga;MMORPG;Activision;2016;PlayStation 2
Call of Duty Adventure;Simulação;Blizzard Entertainment;2004;Mobile
Elden Ring Adventure;Aventura;Activision;2001;Xbox Series X
Minecraft Adventure;Ação;Bungie;1994;PlayStation 5
Fall Guys Odyssey;Estratégia;Epic Games;1996;Wii U
Cyberpunk Reborn;Terror;Mojang;2023;PlayStation 3
Hades Legends;Puzzle;Santa Monica Studio;1992;Xbox Series X
The Sims Chronicles;Corrida;Square Enix;2016;PlayStation 5
The Sims Reborn;Aventura;Mojang;2013;PlayStation 5
EVE Online Reborn;Ação;Santa Monica Studio;2014;Nintendo Switch
Stardew Valley Infinity;Ação;FromSoftware;2001;PC
Valorant Reborn;RPG;Santa Monica Studio;2010;Xbox
The Legend of Zelda Legends;Terror;Rockstar Games;1985;Mobile
Elden Ring Reborn;Terror;Ubisoft;1989;PlayStation 3
Dota 2 Saga;Puzzle;Bungie;1986;PlayStation 3
The Witcher Chronicles;Esporte;Santa Monica Studio;2018;Xbox
PUBG Odyssey;Simulação;Ubisoft;2012;PlayStation 5
Grand Theft Auto Saga;Battle Royale;Rockstar Games;1998;PlayStation
Cyberpunk Legends;Corrida;Epic Games;1993;Xbox
Dota 2 Adventure;FPS;Activision;1989;PlayStation 3
Hollow Knight Reborn;RPG;Bethesda Game Studios;1998;Wii U
Cyberpunk Reborn;Esporte;Bethesda Game Studios;2014;PlayStation 2
League of Legends Legends;Esporte;Bethesda Game Studios;2023;PlayStation 3
Apex Legends Adventure;Battle Royale;Square Enix;2018;Xbox Series X
Stardew Valley Odyssey;Estratégia;Epic Games;2023;PC
Apex Legends Saga;Puzzle;FromSoftware;1996;PC
PUBG Adventure;RPG;Nintendo;2013;PlayStation 5
Apex Legends Reborn;Simulação;Epic Games;2023;PlayStation 2
The Legend of Zelda Legends;Sandbox;CD Projekt Red;1999;Wii U
Minecraft Odyssey;RPG;Mojang;2022;Nintendo Switch
Diablo Saga;FPS;Santa Monica Studio;1993;PlayStation
The Legend of Zelda Odyssey;Simulação;Bungie;2012;Xbox Series X
Among Us Chronicles;Battle Royale;Rockstar Games;1990;Xbox
The Witcher Reborn;Sandbox;FromSoftware;2003;Xbox Series X
Assassin's Creed Legends;Estratégia;Santa Monica Studio;2021;PlayStation 2
Apex Legends Legends;Corrida;Ubisoft;1992;PlayStation 5
Grand Theft Auto Reborn;Aventura;Supercell;1989;PlayStation 3
Apex Legends Adventure;MMORPG;Bungie;2002;Xbox Series X
The Legend of Zelda Chronicles;Sandbox;Epic Games;1991;Mobile
Fortnite Saga;RPG;Valve;2013;Wii U
Fortnite Saga;RPG;Ubisoft;2002;Xbox 360
Hades Odyssey;Puzzle;Nintendo;2004;Wii U
Minecraft Adventure;Puzzle;Ubisoft;1987;Mobile
Valorant Chronicles;Terror;Epic Games;2016;PlayStation 5
PUBG Odyssey;MMORPG;Epic Games;1989;Nintendo Switch
PUBG Legends;Estratégia;Santa Monica Studio;2000;Xbox
God of War Reborn;Simulação;Mojang;2017;Xbox
The Sims Adventure;Battle Royale;Nintendo;2022;PlayStation 5
EVE Online Saga;Simulação;Bungie;2019;Xbox 360
The Legend of Zelda Legends;Aventura;Santa Monica Studio;1985;PlayStation 5
Fall Guys Saga;Simulação;Valve;1990;Wii U
Stardew Valley Legends;Simulação;Valve;1993;Wii U
Fortnite Infinity;Corrida;Blizzard Entertainment;2015;PlayStation
Minecraft Chronicles;Simulação;Blizzard Entertainment;2004;Nintendo Switch
Stardew Valley Saga;RPG;FromSoftware;2006;PC
PUBG Adventure;Sandbox;Square Enix;1993;Wii U
Fortnite Saga;MMORPG;Supercell;2018;PlayStation 2
Dota 2 Adventure;Esporte;Mojang;1985;PlayStation
Cyberpunk Chronicles;Esporte;Supercell;1991;PlayStation 2
The Legend of Zelda Saga;Aventura;Nintendo;1990;Xbox 360
Minecraft Origins;Terror;Square Enix;2010;Wii U
Stardew Valley Chronicles;Terror;Square Enix;1990;Nintendo Switch
God of War Origins;Esporte;Blizzard Entertainment;2012;PC
Apex Legends Odyssey;Esporte;Activision;1994;PlayStation 3
EVE Online Legends;Aventura;Epic Games;1986;PlayStation 2
Overwatch Reborn;Puzzle;Activision;2006;PlayStation 5
Stardew Valley Odyssey;Estratégia;Mojang;2021;PlayStation 5
Fall Guys Reborn;Puzzle;Activision;1992;PC
PUBG Infinity;Estratégia;Nintendo;2020;PlayStation 3
Call of Duty Odyssey;Estratégia;Epic Games;1990;Wii U
EVE Online Infinity;MMORPG;Nintendo;1992;Wii U
Diablo Legends;Corrida;Supercell;1995;Xbox 360
Cyberpunk Saga;RPG;Santa Monica Studio;2009;Xbox Series X
Fall Guys Odyssey;FPS;Mojang;1992;Xbox
Elden Ring Chronicles;Estratégia;Rockstar Games;1995;Wii U
Hades Legends;Terror;Rockstar Games;1996;Nintendo Switch
Overwatch Chronicles;Ação;CD Projekt Red;2003;Wii U
EVE Online Origins;FPS;Bethesda Game Studios;1992;Xbox 360
PUBG Chronicles;Battle Royale;Square Enix;2013;Wii U
Cyberpunk Saga;Ação;CD Projekt Red;1986;PlayStation 3
God of War Odyssey;RPG;Bungie;2002;PlayStation 5
Hollow Knight Odyssey;Sandbox;Nintendo;1992;Mobile
The Witcher Odyssey;RPG;Epic Games;1989;PlayStation 5
Elden Ring Saga;Estratégia;Santa Monica Studio;2019;Mobile
Hades Infinity;Simulação;Supercell;1986;Xbox 360
Red Dead Redemption Infinity;MMORPG;Mojang;1989;Xbox
Overwatch Origins;Simulação;Bungie;1994;Wii U
Minecraft Adventure;FPS;Nintendo;2017;PlayStation 3
The Witcher Infinity;RPG;Supercell;1994;Xbox Series X
The Sims Origins;RPG;Ubisoft;1999;Xbox 360
Diablo Adventure;Corrida;Rockstar Games;1987;PlayStation 3
Minecraft Chronicles;Ação;Supercell;1988;PlayStation 2
Hollow Knight Origins;Estratégia;Nintendo;2003;Mobile
